"","servidor","DataCenter","tipo","Powerstate","fv","capacidad_total","capacidad_usada","capacidad_asignada"
"31","FINANZAS","QRO","OTROS","poweredOn","fisico",697.6,565.990025359256,131.609974640744
"32","GRPSAT1","QRO","OTROS","poweredOn","fisico",1909.5,1542.02616934348,367.473830656523
"33","GRPSAT2","QRO","OTROS","poweredOn","fisico",1563.3,1265.06709636517,298.232903634827
"34","HARVEST7","QRO","OTROS","poweredOn","fisico",301.55,296.8125,4.7375
"35","LAB5","QRO","OTROS","poweredOn","fisico",3699.95,3084.34359910838,615.606400891617
"36","OR_XP1024","QRO","OTROS","poweredOn","fisico",595.65,480.510767117498,115.139232882502
"37","PSPINDESTBDPRO03","QRO","PRODUCCION","poweredOn","fisico",38.1,13.865625,24.234375
"38","PSPINDESTBDUAT01","QRO","UAT","poweredOn","fisico",0,0,0
"39","PSPINORIGBDPRO01","QRO","PRODUCCION","poweredOn","fisico",8.26666666666667,2.17204166666667,6.094625
"40","PSPINORIGBDPRO02","QRO","PRODUCCION","poweredOn","fisico",8.26666666666667,2.17204166666667,6.094625
"41","PSPINORIGBDPRO03","QRO","PRODUCCION","poweredOn","fisico",8.26666666666667,2.17204166666667,6.094625
"42","PSPINORIGBDUAT01","QRO","UAT","poweredOn","fisico",22.2,10.2675,11.9325
"43","QROMGESX01","QRO","ESX","poweredOn","fisico",405.671428571429,144.672309285714,260.999119285714
"44","QROMGESX02","QRO","ESX","poweredOn","fisico",405.671428571429,144.672309285714,260.999119285714
"45","QROMGESX03","QRO","ESX","poweredOn","fisico",405.671428571429,144.672309285714,260.999119285714
"46","QROMSRMESX01","QRO","ESX","poweredOn","fisico",1189.19642857143,575.065248820386,614.131179751043
"47","QROMSRMESX02","QRO","ESX","poweredOn","fisico",1189.19642857143,575.065248820386,614.131179751043
"48","QROMSRMESX03","QRO","ESX","poweredOn","fisico",1189.19642857143,575.065248820386,614.131179751043
"49","QROMSRMESX04","QRO","ESX","poweredOn","fisico",1189.19642857143,575.065248820386,614.131179751043
"50","QSNODE1","QRO","OTROS","poweredOn","fisico",654.8,534.140269447686,120.659730552314
"51","SG_ISOSADP5","QRO","OTROS","poweredOn","fisico",40.8,32.8331360946746,7.96686390532544
"52","TERCEROS","QRO","OTROS","poweredOn","fisico",293.5,237.456487743026,56.0435122569738
"53","TQ360PROSQLP01","QRO","PRODUCCION","poweredOn","fisico",657.35,483.696222841467,173.653777158533
