"","aplicacion","consumo_asignado_app","consumo_usado_app","consumo_fantasia_app","General","n_centrales","consumo_x_general_asignado","consumo_x_general_usado"
"171","G",48.3,46.1045454545455,2.19545454545454,"Sin Direccion",1,48.3,46.1045454545455
"172","GCT",6400,972.635184375,5427.364815625,"Sin Direccion",1,6400,972.635184375
"173","GDE",15474,1981.6614,13492.3386,"Sin Direccion",1,15474,1981.6614
"174","GEI",256,55.864,200.136,"Sin Direccion",1,256,55.864
"175","GENERADOR DE DOCUMENTOS",5536.857421875,1466.75244042969,4070.10498144531,"Servicios al Contribuyente",1,5536.857421875,1466.75244042969
"176","GESTFIN",70,23.5725,46.4275,"Sin Direccion",1,70,23.5725
"177","GESTION DE BIENES",48.3,46.1045454545455,2.19545454545454,"TODAS",1,48.3,46.1045454545455
"178","GESTOR DE DOCUMENTOS",302,58.6658,243.3342,"Servicios al Contribuyente",1,302,58.6658
"179","GGC",15364.001953125,2346.56274433594,13017.4392087891,"Sin Direccion",1,15364.001953125,2346.56274433594
"180","GMP",230,49.036,180.964,"Sin Direccion",1,230,49.036
"181","GOBIERNOTI (IT360)",11903.9921875,1888.4188453125,10015.5733421875,"Comunicaciones y Tecnologias de la Informacion",1,11903.9921875,1888.4188453125
"182","GRP",1736.4,1403.54663285433,332.853367145675,"Sin Direccion",1,1736.4,1403.54663285433
"183","GSC",16808.50390625,3055.51407207031,13752.9898341797,"Sin Direccion",1,16808.50390625,3055.51407207031
"184","HARVEST",150.775,148.40625,2.36875,"Sin Direccion",1,150.775,148.40625
"185","HEC",1230.9990234375,389.889960131836,841.109063305665,"Sin Direccion",1,1230.9990234375,389.889960131836
"186","HECOFIS",2129.6806640625,922.582833909607,1207.09783015289,"Grandes Contribuyentes",1,2129.6806640625,922.582833909607
"187","HER",343,45.34565,297.65435,"Sin Direccion",1,343,45.34565
"188","IDC",197554.446649639,133427.809685226,64126.6369644132,"Servicios al Contribuyente",1,197554.446649639,133427.809685226
"189","IDC 1.0",67.8291015625,52.36406640625,15.46503515625,"Servicios al Contribuyente",1,67.8291015625,52.36406640625
"190","IDC 2.0",4090.33203125,2893.04108363451,1197.29094761549,"Servicios al Contribuyente",1,4090.33203125,2893.04108363451
"191","IDC 2.5",29457.6823542668,20819.6825622723,8637.9997919945,"Servicios al Contribuyente",1,29457.6823542668,20819.6825622723
"192","IDC 2.5 - STRESS",1453.475,474.516061150192,978.958938849808,"Servicios al Contribuyente",1,1453.475,474.516061150192
"193","IDC2.5-UAT",14206.1831054688,4955.32947625815,9250.85362921061,"Servicios al Contribuyente",1,14206.1831054688,4955.32947625815
"194","IDCRPLMSQL",364,51.1056,312.8944,"Sin Direccion",1,364,51.1056
"195","IDE",559.60546875,411.315484428406,148.289984321594,"Aduanas",1,559.60546875,411.315484428406
"196","IDN",155411.179927202,31346.087226875,124065.092700327,"Sin Direccion",1,155411.179927202,31346.087226875
"197","IDN (NOVELL)",39399.7658765388,9285.53813822548,30114.2277383133,"TODAS",1,39399.7658765388,9285.53813822548
"198","IDN-STRESS-NOVELL",4270.5,300.509650539952,3969.99034946005,"TODAS",1,4270.5,300.509650539952
"199","INE",8314,1069.03655,7244.96345,"Sin Direccion",1,8314,1069.03655
"200","INT",2532,475.7162,2056.2838,"Sin Direccion",1,2532,475.7162
"201","INTRASAT",188,138.1818359375,49.8181640625,"Aduanas",1,188,138.1818359375
"202","ISOSADP",40.8,32.8331360946746,7.96686390532544,"Sin Direccion",1,40.8,32.8331360946746
"203","Implementacion del portal de tramites y Servicios al Contribuyente",1806.20174701983,488.369322963748,1317.83242405608,"Sin Direccion",1,1806.20174701983,488.369322963748
"204","Intercambio de Informacion SAT-INE, asi como el TEPJF",3106,311.03865,2794.96135,"Sin Direccion",1,3106,311.03865
"205","JFP",5492.23974609375,2448.85695863095,3043.3827874628,"Sin Direccion",1,5492.23974609375,2448.85695863095
"206","JUEGOS Y SORTEOS",104,32.058,71.942,"Auditoria Fiscal Federal",1,104,32.058
"207","JUPITER",1939.123046875,721.192702660276,1217.93034421472,"Juridica",1,1939.123046875,721.192702660276
"208","L.1.3.64.1.",108.5,55.4286458333333,53.0713541666667,"Sin Direccion",1,108.5,55.4286458333333
"209","L.1.4.32.10.",72,31.4748,40.5252,"Sin Direccion",1,72,31.4748
"210","L.1.4.64.2.",62,27.1033,34.8967,"Sin Direccion",1,62,27.1033
"211","L.2.2.32.2.",67,7.19915,59.80085,"Sin Direccion",1,67,7.19915
"212","L.2.2.32.3.",67,18.9811,48.0189,"Sin Direccion",1,67,18.9811
"213","L.2.2.64.",42,19.0869,22.9131,"Sin Direccion",1,42,19.0869
"214","L.2.2.64.14.",42,16.4556,25.5444,"Sin Direccion",1,42,16.4556
"215","L.2.2.64.2.",38,20.2844,17.7156,"Sin Direccion",1,38,20.2844
"216","L.2.2.64.21.",47,15.11285,31.88715,"Sin Direccion",1,47,15.11285
"217","L.2.2.64.24.",82,43.7716,38.2284,"Sin Direccion",1,82,43.7716
"218","L.2.2.64.6.",42,18.8454,23.1546,"Sin Direccion",1,42,18.8454
"219","L.3.1.64.16.",145,69.46225,75.53775,"Sin Direccion",1,145,69.46225
"220","L.3.1.64.4.",140,45.017,94.983,"Sin Direccion",1,140,45.017
"221","LAB",3951.45,3145.75887723338,805.691122766617,"Sin Direccion",1,3951.45,3145.75887723338
"222","LABORATORIO",251.5,61.415278125,190.084721875,"Comunicaciones y Tecnologias de la Informacion",1,251.5,61.415278125
"223","LCP",6064.3984375,106.346853808594,5958.05158369141,"Sin Direccion",1,6064.3984375,106.346853808594
"224","LEG",32,18.7552,13.2448,"Sin Direccion",1,32,18.7552
"225","LIF",914,146.43425,767.56575,"Sin Direccion",1,914,146.43425
"226","LIK",282,45.8413068844808,236.158693115519,"Sin Direccion",1,282,45.8413068844808
"227","MACROPROYECTOS",2508.170703125,630.002014950227,1878.16868817477,"TODAS",1,2508.170703125,630.002014950227
"228","MAQ",754,136.24625,617.75375,"Sin Direccion",1,754,136.24625
"229","MARIMBA",766,339.9508,426.0492,"Sin Direccion",1,766,339.9508
"230","MAT",603,146.35405,456.64595,"Sin Direccion",1,603,146.35405
"231","MAT DyC",19139.807683928,5968.37235430754,13171.4353296204,"Sin Direccion",1,19139.807683928,5968.37235430754
"232","MATCAPBKGX",214,21.8066,192.1934,"Sin Direccion",1,214,21.8066
"233","MATCE: Automatizacion y llenado electronico del formulario multiple de pago para comercio exterior",4389.82794744318,1358.16897040128,3031.6589770419,"Sin Direccion",1,4389.82794744318,1358.16897040128
"234","MIA",928,155.577,772.423,"Sin Direccion",1,928,155.577
"235","MISI",740,96.237,643.763,"Sin Direccion",1,740,96.237
"236","MONITOR ENUVE",192,25.0656,166.9344,"Comunicaciones y Tecnologias de la Informacion",1,192,25.0656
"237","MONITOREO INDRA",1329,428.689593407235,900.310406592765,"Comunicaciones y Tecnologias de la Informacion",1,1329,428.689593407235
"238","MOR",378.1,200.868344362018,177.231655637982,"Sin Direccion",1,378.1,200.868344362018
"239","MORSA",101.3,19.1016943620178,82.1983056379822,"Planeacion",1,101.3,19.1016943620178
"240","MPR",2431.320703125,619.728654685459,1811.59204843954,"Sin Direccion",1,2431.320703125,619.728654685459
"241","MSK",266,138.9451,127.0549,"Sin Direccion",1,266,138.9451
"242","MTS",564,219.7344,344.2656,"Sin Direccion",1,564,219.7344
"243","MVA XMAIL",20,15.9599609375,4.0400390625,"Sin Direccion",1,20,15.9599609375
"244","Mantenimiento a las declaraciones anuales",63091.2788085938,24467.6632702286,38623.6155383651,"Sin Direccion",1,63091.2788085938,24467.6632702286
"245","Modulo de registros de codigos de seguridad en cajetillas de Cigarros",14339.8615872187,4399.98732150367,9939.87426571502,"Sin Direccion",1,14339.8615872187,4399.98732150367
"246","NEE",3715.5,719.3655,2996.1345,"Sin Direccion",1,3715.5,719.3655
"247","NEW VIRTUAL MACHINE",127,73.59015,53.40985,"Sin Direccion",1,127,73.59015
"248","NOM",810,375.1401,434.8599,"Sin Direccion",1,810,375.1401
"249","NOMINA SAT",2823.6953125,1890.69375908661,933.001553413391,"Recaudacion",1,2823.6953125,1890.69375908661
"250","NOTIFICACION Y VERIFICACION",11441.6666666667,2451.92323476562,8989.74343190104,"Grandes Contribuyentes",1,11441.6666666667,2451.92323476562
"251","NYV",19011.6666666667,3449.76043476562,15561.906231901,"Sin Direccion",1,19011.6666666667,3449.76043476562
"252","NYV_RRL",57646.3166666667,13831.1037352214,43815.2129314453,"Comunicaciones y Tecnologias de la Informacion",2,28823.1583333333,6915.55186761068
"253","NYV_RRL",57646.3166666667,13831.1037352214,43815.2129314453,"Juridica",2,28823.1583333333,6915.55186761068
"254","OEM",198,44.3223,153.6777,"Sin Direccion",1,198,44.3223
"255","OFICINA SIN PAPEL",280,116.005859375,163.994140625,"Evaluacion",1,280,116.005859375
"256","OPT",464,106.72,357.28,"Sin Direccion",1,464,106.72
"257","OVM",211.4,26.2385954241071,185.161404575893,"Sin Direccion",1,211.4,26.2385954241071
"258","Oficialia de Partes",4906.81932277741,1183.97871446534,3722.84060831207,"Sin Direccion",1,4906.81932277741,1183.97871446534
"259","P",1592,368.2208,1223.7792,"Sin Direccion",1,1592,368.2208
"260","P2V",40,15.09375,24.90625,"Sin Direccion",1,40,15.09375
"261","PADRON DE CONTRIBUYENTES",3628,2128.03285026042,1499.96714973958,"Servicios al Contribuyente",1,3628,2128.03285026042
"262","PADRON ESCUELAS",288,194.58140625,93.41859375,"Auditoria Fiscal Federal",1,288,194.58140625
"263","PAGC",170,42.64875,127.35125,"Sin Direccion",1,170,42.64875
"264","PAM",72133.01171875,9410.68085390625,62722.3308648437,"Sin Direccion",1,72133.01171875,9410.68085390625
"265","PEM",423,45.11295,377.88705,"Sin Direccion",1,423,45.11295
"266","PGI",3016,957.4686859375,2058.5313140625,"Sin Direccion",1,3016,957.4686859375
"267","PIM",3973,486.1084,3486.8916,"Servicios al Contribuyente",1,3973,486.1084
"268","PKI",19339,3805.81976822323,15533.1802317768,"Servicios al Contribuyente",1,19339,3805.81976822323
"269","PLANTILLADOR",301,184.349779390315,116.650220609685,"TODAS",1,301,184.349779390315
